Year,European Union,Germany,United States
2004,115.32,102.8,
2005,112.19,101.0,
2006,109.09,100.3,
2007,107.43,100.2,
2008,105.81,99.1,
2009,106.02,99.9,
2010,105.14,99.1,
2011,102.72,99.6,
2012,101.79,98.8,
2013,101.93,101.6,
2014,101.06,101.0,
2015,100.0,100.0,
2016,99.15,100.2,
2017,98.77,104.1,
2018,99.86,106.6,
2019,99.54,106.4,
2020,100.46,106.1,
2021,101.32,106.5,
2022,103.84,110.3,
2023,105.8,113.8,
2024,104.54,110.7,
